FID IID B1
0 HG01879 1 
0 HG01880 1 
0 HG01882 1 
0 HG01883 1 
0 HG01885 1 
0 HG01886 1 
0 HG01889 1 
0 HG01890 1 
0 HG01894 1 
0 HG01896 1 
0 HG01912 1 
0 HG01914 1 
0 HG01915 1 
0 HG01956 1 
0 HG01958 1 
0 HG01985 1 
0 HG01986 1 
0 HG01988 1 
0 HG01989 1 
0 HG01990 1 
0 HG02009 1 
0 HG02010 1 
0 HG02012 1 
0 HG02013 1 
0 HG02014 1 
0 HG02051 1 
0 HG02052 1 
0 HG02053 1 
0 HG02054 1 
0 HG02095 1 
0 HG02107 1 
0 HG02108 1 
0 HG02111 1 
0 HG02143 1 
0 HG02144 1 
0 HG02255 1 
0 HG02256 1 
0 HG02281 1 
0 HG02282 1 
0 HG02283 1 
0 HG02284 1 
0 HG02307 1 
0 HG02308 1 
0 HG02309 1 
0 HG02314 1 
0 HG02315 1 
0 HG02317 1 
0 HG02318 1 
0 HG02322 1 
0 HG02323 1 
0 HG02325 1 
0 HG02330 1 
0 HG02332 1 
0 HG02334 1 
0 HG02337 1 
0 HG02339 1 
0 HG02343 1 
0 HG02419 1 
0 HG02420 1 
0 HG02427 1 
0 HG02429 1 
0 HG02433 1 
0 HG02439 1 
0 HG02442 1 
0 HG02445 1 
0 HG02449 1 
0 HG02450 1 
0 HG02455 1 
0 HG02461 1 
0 HG02462 1 
0 HG02464 1 
0 HG02465 1 
0 HG02470 1 
0 HG02471 1 
0 HG02476 1 
0 HG02477 1 
0 HG02479 1 
0 HG02481 1 
0 HG02484 1 
0 HG02485 1 
0 HG02489 1 
0 HG02496 1 
0 HG02497 1 
0 HG02501 1 
0 HG02502 1 
0 HG02505 1 
0 HG02508 1 
0 HG02511 1 
0 HG02536 1 
0 HG02537 1 
0 HG02541 1 
0 HG02545 1 
0 HG02546 1 
0 HG02549 1 
0 HG02554 1 
0 HG02555 1 
0 HG02557 1 
0 HG02558 1 
0 HG02561 1 
0 HG02562 1 
0 HG02568 1 
0 HG02570 1 
0 HG02571 1 
0 HG02573 1 
0 HG02574 1 
0 HG02577 1 
0 HG02580 1 
0 HG02582 1 
0 HG02583 1 
0 HG02585 1 
0 HG02586 1 
0 HG02588 1 
0 HG02589 1 
0 HG02594 1 
0 HG02595 1 
0 HG02610 1 
0 HG02611 1 
0 HG02613 1 
0 HG02614 1 
0 HG02620 1 
0 HG02621 1 
0 HG02623 1 
0 HG02624 1 
0 HG02628 1 
0 HG02629 1 
0 HG02634 1 
0 HG02635 1 
0 HG02642 1 
0 HG02643 1 
0 HG02645 1 
0 HG02646 1 
0 HG02666 1 
0 HG02667 1 
0 HG02675 1 
0 HG02676 1 
0 HG02678 1 
0 HG02679 1 
0 HG02702 1 
0 HG02703 1 
0 HG02715 1 
0 HG02716 1 
0 HG02721 1 
0 HG02722 1 
0 HG02756 1 
0 HG02757 1 
0 HG02759 1 
0 HG02760 1 
0 HG02763 1 
0 HG02768 1 
0 HG02769 1 
0 HG02771 1 
0 HG02772 1 
0 HG02798 1 
0 HG02799 1 
0 HG02804 1 
0 HG02805 1 
0 HG02807 1 
0 HG02808 1 
0 HG02810 1 
0 HG02811 1 
0 HG02813 1 
0 HG02814 1 
0 HG02816 1 
0 HG02817 1 
0 HG02819 1 
0 HG02820 1 
0 HG02836 1 
0 HG02837 1 
0 HG02839 1 
0 HG02840 1 
0 HG02851 1 
0 HG02852 1 
0 HG02854 1 
0 HG02855 1 
0 HG02860 1 
0 HG02861 1 
0 HG02870 1 
0 HG02878 1 
0 HG02879 1 
0 HG02881 1 
0 HG02882 1 
0 HG02884 1 
0 HG02885 1 
0 HG02887 1 
0 HG02888 1 
0 HG02890 1 
0 HG02891 1 
0 HG02895 1 
0 HG02896 1 
0 HG02922 1 
0 HG02923 1 
0 HG02938 1 
0 HG02941 1 
0 HG02943 1 
0 HG02944 1 
0 HG02946 1 
0 HG02947 1 
0 HG02952 1 
0 HG02953 1 
0 HG02968 1 
0 HG02970 1 
